"가해자연령층","월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"20세이하","01","384","3","159","378","68"
"20세이하","02","394","4","123","426","59"
"20세이하","03","507","6","157","469","83"
"20세이하","04","650","15","180","590","127"
"20세이하","05","630","11","198","541","122"
"20세이하","06","711","11","227","637","150"
"20세이하","07","611","5","196","552","131"
"20세이하","08","644","6","199","597","147"
"20세이하","09","590","12","184","487","127"
"20세이하","10","560","13","177","523","90"
"20세이하","11","541","9","145","476","104"
"20세이하","12","432","2","129","378","84"
"21-30세","01","2200","33","708","2446","230"
"21-30세","02","2101","33","715","2462","206"
"21-30세","03","2202","43","756","2443","201"
"21-30세","04","2354","34","819","2592","269"
"21-30세","05","2509","28","836","2760","281"
"21-30세","06","2448","25","870","2560","272"
"21-30세","07","2481","36","811","2654","286"
"21-30세","08","2523","46","829","2832","324"
"21-30세","09","2441","43","842","2682","234"
"21-30세","10","2513","41","818","2671","254"
"21-30세","11","2495","24","834","2676","286"
"21-30세","12","2460","34","749","2700","296"
"31-40세","01","2720","53","946","3019","221"
"31-40세","02","2585","40","919","2813","263"
"31-40세","03","2661","40","884","2825","290"
"31-40세","04","2843","44","1009","2996","258"
"31-40세","05","2894","36","1012","3062","224"
"31-40세","06","2697","39","914","2753","259"
"31-40세","07","2861","41","977","3137","273"
"31-40세","08","2822","53","910","3047","292"
"31-40세","09","2826","45","983","3188","273"
"31-40세","10","2921","43","915","3139","256"
"31-40세","11","2906","36","966","3154","262"
"31-40세","12","2882","41","970","3095","292"
"41-50세","01","3438","52","1118","3713","308"
"41-50세","02","3171","49","1042","3466","297"
"41-50세","03","3289","52","1178","3390","257"
"41-50세","04","3631","54","1183","3828","361"
"41-50세","05","3623","50","1303","3751","335"
"41-50세","06","3508","41","1225","3652","355"
"41-50세","07","3577","52","1211","3853","331"
"41-50세","08","3504","66","1206","3897","340"
"41-50세","09","3506","48","1191","3738","302"
"41-50세","10","3823","68","1374","3994","334"
"41-50세","11","3636","42","1218","3803","320"
"41-50세","12","3498","62","1140","3773","350"
"51-60세","01","4345","86","1513","4584","355"
"51-60세","02","4121","71","1424","4548","318"
"51-60세","03","4258","70","1465","4407","350"
"51-60세","04","4292","68","1538","4499","392"
"51-60세","05","4498","77","1613","4824","441"
"51-60세","06","4390","60","1565","4562","357"
"51-60세","07","4701","63","1583","5213","415"
"51-60세","08","4436","86","1575","4724","370"
"51-60세","09","4504","83","1598","4782","395"
"51-60세","10","4971","98","1754","5132","387"
"51-60세","11","4664","88","1724","4829","379"
"51-60세","12","4451","90","1470","4666","365"
"61-64세","01","1417","24","471","1485","132"
"61-64세","02","1328","27","452","1434","133"
"61-64세","03","1442","33","523","1472","113"
"61-64세","04","1458","31","538","1473","117"
"61-64세","05","1510","21","554","1608","127"
"61-64세","06","1556","23","594","1646","146"
"61-64세","07","1550","28","537","1639","158"
"61-64세","08","1509","33","558","1628","142"
"61-64세","09","1522","30","525","1731","116"
"61-64세","10","1749","29","594","1864","137"
"61-64세","11","1618","28","520","1738","138"
"61-64세","12","1436","23","391","1591","117"
"65세이상","01","2153","53","771","2198","177"
"65세이상","02","2169","51","792","2156","199"
"65세이상","03","2342","66","891","2299","202"
"65세이상","04","2439","57","917","2409","189"
"65세이상","05","2611","85","988","2597","251"
"65세이상","06","2436","67","859","2364","236"
"65세이상","07","2596","89","959","2594","241"
"65세이상","08","2559","66","949","2569","227"
"65세이상","09","2632","86","1037","2667","274"
"65세이상","10","2807","81","1073","2629","270"
"65세이상","11","2770","71","1044","2696","241"
"65세이상","12","2498","71","793","2535","176"
"불명","01","369","0","59","292","87"
"불명","02","339","0","51","253","79"
"불명","03","321","0","64","223","73"
"불명","04","325","0","46","243","70"
"불명","05","361","1","55","266","85"
"불명","06","336","0","50","236","85"
"불명","07","322","1","51","218","84"
"불명","08","338","1","44","260","83"
"불명","09","350","1","58","238","99"
"불명","10","394","0","68","296","87"
"불명","11","399","0","64","296","87"
"불명","12","353","0","41","280","82"
