연번,시도명,시군구명,행정동,경로당명,주소,데이터기준일
1,전라남도,광양시,광양읍,e-편한세상경로당,전라남도 광양시 광양읍 서북2길 115,2023-10-17
2,전라남도,광양시,광양읍,개성경로당,전라남도 광양시 광양읍 개성3길 16-21,2023-10-17
3,전라남도,광양시,광양읍,계곡경로당,전라남도 광양시 광양읍 계곡길 200,2023-10-17
4,전라남도,광양시,광양읍,계원아파트경로당,전라남도 광양시 광양읍 예구7길 10,2023-10-17
5,전라남도,광양시,광양읍,공공실버주택경로당,"전라남도 광양시 광양읍 읍성길 210, 2층(광양공공실버주택)",2023-10-17
6,전라남도,광양시,광양읍,교촌경로당,전라남도 광양시 광양읍 향교길 37,2023-10-17
7,전라남도,광양시,광양읍,금곡경로당,전라남도 광양시 광양읍 남문2길 4-10,2023-10-17
8,전라남도,광양시,광양읍,기두경로당,전라남도 광양시 광양읍 기두길 7,2023-10-17
9,전라남도,광양시,광양읍,남등경로당,"전라남도 광양시 광양읍 서북로 42,2층",2023-10-17
10,전라남도,광양시,광양읍,내우경로당,전라남도 광양시 광양읍 우산길 29,2023-10-17
11,전라남도,광양시,광양읍,대림아파트경로당,전라남도 광양시 광양읍 대림오성로 11(관리사무소 내),2023-10-17
12,전라남도,광양시,광양읍,대실경로당,전라남도 광양시 광양읍 호암대실길 233-5,2023-10-17
13,전라남도,광양시,광양읍,덕례수시아아파트경로당,전라남도 광양시 광양읍 서산길 43(105동관리사무소옆),2023-10-17
14,전라남도,광양시,광양읍,덕산경로당,전라남도 광양시 광양읍 덕산안길 30-7,2023-10-17
15,전라남도,광양시,광양읍,덕진아파트경로당,"전라남도 광양시 광양읍 서평1길 9, 관리사무소 내",2023-10-17
16,전라남도,광양시,광양읍,도월경로당,전라남도 광양시 광양읍 도월길 221-13,2023-10-17
17,전라남도,광양시,광양읍,도청경로당,전라남도 광양시 광양읍 도청길 289,2023-10-17
18,전라남도,광양시,광양읍,마산경로당,전라남도 광양시 광양읍 마산길 8-7,2023-10-17
19,전라남도,광양시,광양읍,매화마을아파트경로당,전라남도 광양시 광양읍 서평1길 99(매화마을주공아파트 관리동),2023-10-17
20,전라남도,광양시,광양읍,목성리1구경로당,전라남도 광양시 광양읍 목성1길 39,2023-10-17
21,전라남도,광양시,광양읍,목성아파트경로당,전라남도 광양시 광양읍 신재로 82,2023-10-17
22,전라남도,광양시,광양읍,무선마을경로당,전라남도 광양시 광양읍 무선길 116,2023-10-17
23,전라남도,광양시,광양읍,본정경로당,전라남도 광양시 광양읍 본정길 1,2023-10-17
24,전라남도,광양시,광양읍,부영아파트경로당,전라남도 광양시 광양읍 인서4길 20(관리사무소 1층),2023-10-17
25,전라남도,광양시,광양읍,부흥경로당,전라남도 광양시 광양읍 해광로 555-1,2023-10-17
26,전라남도,광양시,광양읍,산저경로당,전라남도 광양시 광양읍 칠성로 71-4,2023-10-17
27,전라남도,광양시,광양읍,삼성경로당,전라남도 광양시 광양읍 유자도길 81,2023-10-17
28,전라남도,광양시,광양읍,삼익아파트경로당,"전라남도 광양시 광양읍 우산공원길 64, 삼익아파트 상가 103호",2023-10-17
29,전라남도,광양시,광양읍,상아아파트경로당,전라남도 광양시 광양읍 서북2길 11,2023-10-17
30,전라남도,광양시,광양읍,서북2경로당,전라남도 광양시 광양읍 서북2길 37,2023-10-17
31,전라남도,광양시,광양읍,석정경로당,전라남도 광양시 광양읍 석정길 15-1,2023-10-17
32,전라남도,광양시,광양읍,성북경로당,"전라남도 광양시 광양읍 인덕1길 40, 1층 1호(대성빌라)",2023-10-17
33,전라남도,광양시,광양읍,세승경로당,전라남도 광양시 광양읍 세승길 34,2023-10-17
34,전라남도,광양시,광양읍,세풍경로당,전라남도 광양시 광양읍 중여길 14,2023-10-17
35,전라남도,광양시,광양읍,송보7차아파트경로당,전라남도 광양시 광양읍 와룡길 33(관리사무소),2023-10-17
36,전라남도,광양시,광양읍,수성당,전라남도 광양시 광양읍 읍성2길 32-3,2023-10-17
37,전라남도,광양시,광양읍,신기경로당,전라남도 광양시 광양읍 새터길 9-3,2023-10-17
38,전라남도,광양시,광양읍,신도경로당,전라남도 광양시 광양읍 신도길 44,2023-10-17
39,전라남도,광양시,광양읍,신두경로당,전라남도 광양시 광양읍 신두길 101,2023-10-17
40,전라남도,광양시,광양읍,신성경로당,전라남도 광양시 광양읍 매천로 892-8,2023-10-17
41,전라남도,광양시,광양읍,신촌경로당,전라남도 광양시 광양읍 해광로 695,2023-10-17
42,전라남도,광양시,광양읍,신흥경로당,전라남도 광양시 광양읍 남문1길 70-9,2023-10-17
43,전라남도,광양시,광양읍,쌍백경모정,전라남도 광양시 광양읍 백동길 51,2023-10-17
44,전라남도,광양시,광양읍,양지경로당,"전라남도 광양시 광양읍 매천로 864,2층",2023-10-17
45,전라남도,광양시,광양읍,억만경로당,전라남도 광양시 광양읍 억만길 70,2023-10-17
46,전라남도,광양시,광양읍,억만경모정,전라남도 광양시 광양읍 금너길 37-22,2023-10-17
